更新时间,#genre#
2024-10-21 06:36:39,url
📺央视频道,#genre#
CCTV-1,http://60.220.167.176:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://110.177.146.171:888/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://1.70.35.224:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.178.77.222:8084/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://220.178.184.252:4000/rtp/238.1.78.166:7200$1920x1080
CCTV-1,http://60.223.90.184:8002/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://60.223.72.148:8001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://119.98.133.99:4022/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://180.158.164.233:8888/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://218.78.180.91:9999/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://180.158.191.162:9999/udp/239.45.3.145:5140$1920x1080
CCTV-1,http://115.201.88.156:9999/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://123.113.237.160:8888/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://114.225.190.118:8800/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://180.102.250.10:8118/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://27.158.23.122:9999/rtp/239.61.3.61:9884$1920x1080
CCTV-1,http://175.9.193.128:4502/rtp/239.76.253.151:9000$1920x1080
CCTV-1,http://36.49.51.252:30007/rtp/239.37.0.254:5540$1920x1080
CCTV-1,http://183.158.169.240:9999/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://111.175.166.209:8686/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://enlen.vip:4022/rtp/239.200.200.2:8080$1920x1080
CCTV-1,http://120.6.7.108:4022/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://220.168.240.238:9999/rtp/239.76.253.151:9000$1920x1080
CCTV-1,http://112.226.139.185:9999/rtp/239.253.254.77:8000$1920x1080
CCTV-1,http://115.171.58.66:4022/rtp/225.1.8.1:8008$1920x1080
CCTV-1,http://223.151.49.74:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-1,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv1hd8m/8000000/mnf.m3u8$1920x1080
CCTV-1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8$1920x1080
CCTV-1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-2,http://119.163.57.184:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$1920x1080
CCTV-2,http://180.158.164.233:8888/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://110.178.77.222:8084/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://111.175.166.209:8686/rtp/239.69.1.102:10250$1920x1080
CCTV-2,http://119.98.133.99:4022/rtp/239.69.1.102:10250$1920x1080
CCTV-2,http://183.158.169.240:9999/rtp/233.50.201.119:5140$1920x1080
CCTV-2,http://115.201.88.156:9999/rtp/233.50.201.119:5140$1920x1080
CCTV-2,http://183.158.169.240:9999/rtp/233.50.201.2:5140$1920x1080
CCTV-2,http://115.201.88.156:9999/rtp/233.50.201.2:5140$1920x1080
CCTV-2,http://114.225.190.118:8800/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://180.102.250.10:8118/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://114.225.190.118:8800/rtp/239.49.1.2:6000$1920x1080
CCTV-2,http://180.102.250.10:8118/rtp/239.49.1.2:6000$1920x1080
CCTV-2,http://120.6.7.108:4022/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://27.158.23.122:9999/rtp/239.61.2.174:9032$1920x1080
CCTV-2,http://220.168.240.238:9999/rtp/239.76.253.152:9000$1920x1080
CCTV-2,http://175.9.193.128:4502/rtp/239.76.253.152:9000$1920x1080
CCTV-2,http://36.49.51.252:30007/rtp/239.37.0.003:5540$1920x1080
CCTV-2,http://36.49.51.252:30007/rtp/239.37.0.021:5540$1920x1080
CCTV-2,http://112.226.139.185:9999/rtp/239.253.254.232:8000$1920x1080
CCTV-2,http://42.92.117.243:8888/rtp/239.255.30.179:8231
CCTV-2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$1920x1080
CCTV-2,http://122.9.151.210:887/rtp/238.255.2.11:5999
CCTV-2,http://220.178.184.252:4000/rtp/238.1.78.235:7752$1920x1080
CCTV-2,http://115.171.58.66:4022/rtp/225.1.8.2:8084$1920x1080
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.2:8084
CCTV-2,http://115.171.216.56:4000/rtp/225.1.8.2:8084
CCTV-2,http://115.171.58.66:4022/rtp/225.1.8.102:8004$1920x1080
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.102:8004
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8$1920x1080
CCTV-3,http://180.158.164.233:8888/rtp/239.45.1.68:5140$1920x1080
CCTV-3,http://110.178.77.222:8084/rtp/239.1.1.9:8009$1920x1080
CCTV-3,http://111.175.166.209:8686/rtp/239.69.1.122:10370$1920x1080
CCTV-3,http://119.98.133.99:4022/rtp/239.69.1.122:10370$1920x1080
CCTV-3,http://183.158.169.240:9999/rtp/233.50.201.196:5140$1920x1080
CCTV-3,http://115.201.88.156:9999/rtp/233.50.201.196:5140$1920x1080
CCTV-3,http://183.158.169.240:9999/rtp/233.50.201.16:5140$1920x1080
CCTV-3,http://115.201.88.156:9999/rtp/233.50.201.16:5140$1920x1080
CCTV-3,http://114.225.190.118:8800/rtp/239.49.9.31:6000$1920x1080
CCTV-3,http://180.102.250.10:8118/rtp/239.49.9.31:6000$1920x1080
CCTV-3,http://114.225.190.118:8800/rtp/239.49.1.3:6000$1920x1080
CCTV-3,http://180.102.250.10:8118/rtp/239.49.1.3:6000$1920x1080
CCTV-3,http://120.6.7.108:4022/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://27.158.23.122:9999/rtp/239.61.3.34:9722$1920x1080
CCTV-3,http://220.168.240.238:9999/rtp/239.76.253.153:9000$1920x1080
CCTV-3,http://175.9.193.128:4502/rtp/239.76.253.153:9000$1920x1080
CCTV-3,http://36.49.51.252:30007/rtp/239.37.0.231:5540$1920x1080
CCTV-3,http://36.49.51.252:30007/rtp/239.37.0.189:5540$1920x1080
CCTV-3,http://112.226.139.185:9999/rtp/239.253.254.191:8000$1920x1080
CCTV-3,http://42.92.117.243:8888/rtp/239.255.29.12:8231
CCTV-3,http://60.164.128.167:8029/rtp/239.255.29.12:8231$1920x1080
CCTV-3,http://122.9.151.210:887/rtp/238.255.2.133:5999
CCTV-3,http://220.178.184.252:4000/rtp/238.1.78.170:7232$1920x1080
CCTV-3,http://115.171.58.66:4022/rtp/225.1.8.88:8000$1920x1080
CCTV-3,http://123.56.129.203:4310/rtp/225.1.8.88:8000
CCTV-3,http://115.171.216.56:4000/rtp/225.1.8.88:8000
CCTV-3,http://115.171.58.66:4022/rtp/225.1.8.92:8000$1920x1080
CCTV-3,http://123.56.129.203:4310/rtp/225.1.8.92:8000
CCTV-3,http://115.171.216.56:4000/rtp/225.1.8.92:8000
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$1920x1080
CCTV-4,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000$1920x1080
CCTV-4,https://hc73k3dhwo5gfkt.wcetv.com/hls/wcetv318.m3u8$1920x1080
CCTV-4,http://180.158.164.233:8888/rtp/239.45.0.2:5140$1920x1080
CCTV-4,http://110.178.77.222:8084/rtp/239.1.1.10:8010$1920x1080
CCTV-4,http://111.175.166.209:8686/rtp/239.69.1.138:10466$1920x1080
CCTV-4,http://119.98.133.99:4022/rtp/239.69.1.138:10466$1920x1080
CCTV-4,http://183.158.169.240:9999/rtp/233.50.200.101:5140$1920x1080
CCTV-4,http://115.201.88.156:9999/rtp/233.50.200.101:5140$1920x1080
CCTV-4,http://183.158.169.240:9999/rtp/233.50.201.4:5140$1920x1080
CCTV-4,http://115.201.88.156:9999/rtp/233.50.201.4:5140$1920x1080
CCTV-4,http://114.225.190.118:8800/rtp/239.49.8.131:6000$1920x1080
CCTV-4,http://180.102.250.10:8118/rtp/239.49.8.131:6000$1920x1080
CCTV-4,http://114.225.190.118:8800/rtp/239.49.1.4:6000$1920x1080
CCTV-4,http://180.102.250.10:8118/rtp/239.49.1.4:6000$1920x1080
CCTV-4,http://120.6.7.108:4022/rtp/239.253.93.192:6370$1920x1080
CCTV-4,http://27.158.23.122:9999/rtp/239.61.2.206:9224$1920x1080
CCTV-4,http://220.168.240.238:9999/rtp/239.76.253.154:9000$1920x1080
CCTV-4,http://175.9.193.128:4502/rtp/239.76.253.154:9000$1920x1080
CCTV-4,http://220.168.240.238:9999/rtp/239.76.253.95:9000$1920x1080
CCTV-4,http://175.9.193.128:4502/rtp/239.76.253.95:9000$1920x1080
CCTV-4,http://36.49.51.252:30007/rtp/239.37.0.022:5540$1920x1080
CCTV-4,http://112.226.139.185:9999/rtp/239.253.254.187:8000$1920x1080
CCTV-4,http://42.92.117.243:8888/rtp/239.255.30.83:8231
CCTV-4,http://60.164.128.167:8029/rtp/239.255.30.83:8231$1920x1080
CCTV-4,http://122.9.151.210:887/rtp/238.255.2.92:5999
CCTV-4,http://122.9.151.210:887/rtp/238.255.2.213:5999
CCTV-4,http://220.178.184.252:4000/rtp/238.1.78.236:7760$1920x1080
CCTV-4,http://115.171.58.66:4022/rtp/225.1.8.4:8092$1920x1080
CCTV-4,http://123.56.129.203:4310/rtp/225.1.8.4:8092
CCTV-5,http://180.158.164.233:8888/rtp/239.45.1.69:5140$1920x1080
CCTV-5,http://110.178.77.222:8084/rtp/239.1.1.11:8011$1920x1080
CCTV-5,http://111.175.166.209:8686/rtp/239.69.1.123:10376$1920x1080
CCTV-5,http://119.98.133.99:4022/rtp/239.69.1.123:10376$1920x1080
CCTV-5,http://183.158.169.240:9999/rtp/233.50.201.197:5140$1920x1080
CCTV-5,http://115.201.88.156:9999/rtp/233.50.201.197:5140$1920x1080
CCTV-5,http://183.158.169.240:9999/rtp/233.50.201.17:5140$1920x1080
CCTV-5,http://115.201.88.156:9999/rtp/233.50.201.17:5140$1920x1080
CCTV-5,http://114.225.190.118:8800/rtp/239.49.9.32:6000$1920x1080
CCTV-5,http://180.102.250.10:8118/rtp/239.49.9.32:6000$1920x1080
CCTV-5,http://114.225.190.118:8800/rtp/239.49.1.5:6000$1920x1080
CCTV-5,http://180.102.250.10:8118/rtp/239.49.1.5:6000$1920x1080
CCTV-5,http://120.6.7.108:4022/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://27.158.23.122:9999/rtp/239.61.3.35:9728$1920x1080
CCTV-5,http://220.168.240.238:9999/rtp/239.76.253.155:9000$1920x1080
CCTV-5,http://175.9.193.128:4502/rtp/239.76.253.155:9000$1920x1080
CCTV-5,http://36.49.51.252:30007/rtp/239.37.0.232:5540$1920x1080
CCTV-5,http://36.49.51.252:30007/rtp/239.37.0.190:5540$1920x1080
CCTV-5,http://112.226.139.185:9999/rtp/239.253.254.192:8000$1920x1080
CCTV-5,http://42.92.117.243:8888/rtp/239.255.29.13:8231
CCTV-5,http://60.164.128.167:8029/rtp/239.255.29.13:8231$1920x1080
CCTV-5,http://122.9.151.210:887/rtp/238.255.2.134:5999
CCTV-5,http://220.178.184.252:4000/rtp/238.1.78.171:7240$1920x1080
CCTV-5,http://115.171.58.66:4022/rtp/225.1.8.89:8000$1920x1080
CCTV-5,http://123.56.129.203:4310/rtp/225.1.8.89:8000
CCTV-5,http://115.171.216.56:4000/rtp/225.1.8.89:8000
CCTV-5,http://115.171.58.66:4022/rtp/225.1.8.93:8000$1920x1080
CCTV-5,http://123.56.129.203:4310/rtp/225.1.8.93:8000
CCTV-5,http://115.171.216.56:4000/rtp/225.1.8.93:8000
CCTV-5,http://123.113.237.160:8888/rtp/239.3.1.173:8001$1920x1080
CCTV-5+,http://42.92.117.243:8888/rtp/239.255.30.184:8231$1920x1080
CCTV-5+,http://110.178.77.222:8084/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://111.175.166.209:8686/rtp/239.69.1.12:9712$1920x1080
CCTV-5+,http://119.98.133.99:4022/rtp/239.69.1.12:9712$1920x1080
CCTV-5+,http://183.158.169.240:9999/rtp/233.50.201.220:5140$1920x1080
CCTV-5+,http://115.201.88.156:9999/rtp/233.50.201.220:5140$1920x1080
CCTV-5+,http://114.225.190.118:8800/rtp/239.49.8.137:6000$1920x1080
CCTV-5+,http://180.102.250.10:8118/rtp/239.49.8.137:6000$1920x1080
CCTV-5+,http://120.6.7.108:4022/rtp/239.253.92.82:8013$1920x1080
CCTV-5+,http://27.158.23.122:9999/rtp/239.61.2.171:9014$1920x1080
CCTV-5+,http://220.168.240.238:9999/rtp/239.76.253.168:9000$1920x1080
